Barcode number,Company,Brand,Manufacturer,Rating,Category,Criticism,Praise,Category names
,,Nudie,,D,2,"12/100 S&P Global ESG Score, Unsustainable palm oil use","4/5 for packaging performance, Palm oil rating - WAZA",Coconut Water
,,Cocobella,,F,2,"Involvement with Burma, 0/20 in Social Benchmark, 2% in Financial System Benchmark, Collusion lawsuit",none,Coconut Water
,,H2Coco,,B,2,none,4/5 for packaging performance,Coconut Water
,,Zico,,?,2,none,none,Coconut Water
,,Celebrate Health,,B,2,none,GM-Free brands,Coconut Water
,,Beyond,,?,2,none,none,Coconut Water
,,Pure Tropics,,D,2,"4.5/10 in Deforestation Scorecard, High free range stocking densities, Poverty wages in Bangladesh, Worker exploitation, 21.4% in Forest 500 Rankings, Unsustainable palm oil use, 13/100 in What Fuels Fashion?, Tier 4 in farm animal welfare rankings","4/5 for packaging performance, Renewable energy use, COVID Fashion Commitments, Banksia Sustainability Award 2020, Palm oil rating - WAZA, Palm oil scorecard - WWF, International Accord signatory, Ethical Trading Initiative member, 10.5/20 in Social Benchmark",Coconut Water
,,Raw C,,?,2,none,none,Coconut Water
,,JT's Coconut Essence,,?,2,none,none,Coconut Water
,,Spritz,,B,3,none,4/5 for packaging performance,Sparkling Water
,,Perrier,,F,3,"Irresponsible marketing, Nanoparticles in baby formula, Boycott call for infant formula, Palm oil sourcing, Delaying action on plastic pollution, Plastic pollution, Slave labour in Brazil, Control of water in North America, Palm oil from illegal sources, Deforestation in Africa, D grade in Keep Forests Standing report, ""Net zero"" greenwash, Palm oil sourcing, Promotion of bottled water, 7/27 in pesticides scorecard, Illegal baby food trials in India, Exploitative purchasing practices, 21.2% in BMS Marketing Index, Tier 5 in farm animal welfare rankings, Nanoparticles in baby formula, 39/100 S&P Global ESG Score","100% UTZ Certified cocoa, 4/5 for packaging performance, Modern Slavery disclosure quality, CDP Climate Change score of A-, Climate policy engagement, Access to Nutrition rating, 15/20 in Social Benchmark, 65.6% in Food and Agriculture Benchmark, 54.1% in Nature Benchmark, CDP Forests score of B, 66.5% in Forest 500 Rankings, Palm oil rating - WAZA, CDP Water Security score of B, 34.3% in Human Rights Benchmark, 40.4% in Gender Benchmark",Sparkling Water
